bca bcabcbcabca 1 1
IGNORE b 1 12
IGNORE c 1 13
IGNORE b 1 14
IGNORE c 1 15
IGNORE b 1 16
IGNORE c 1 17
IGNORE b 1 18
IGNORE c 1 19
IGNORE e 1 20
IGNORE x0a 1 21
bca aa 2 1
IGNORE c 2 3
IGNORE e 2 4
IGNORE c 2 5
IGNORE b 2 6
IGNORE b 2 7
IGNORE c 2 8
IGNORE c 2 9
IGNORE e 2 10
IGNORE c 2 11
IGNORE c 2 12
IGNORE b 2 13
IGNORE b 2 14
IGNORE c 2 15
IGNORE c 2 16
bca a 2 17
IGNORE c 2 18
IGNORE c 2 19
IGNORE c 2 20
IGNORE b 2 21
IGNORE b 2 22
IGNORE c 2 23
IGNORE e 2 24
IGNORE b 2 25
bca a 2 26
IGNORE b 2 27
bca a 2 28
IGNORE b 2 29
IGNORE c 2 30
IGNORE c 2 31
IGNORE e 2 32
bca abca 2 33
IGNORE b 2 37
IGNORE e 2 38
bca a 2 39
IGNORE b 2 40
bca aa 2 41
IGNORE b 2 43
IGNORE c 2 44
IGNORE b 2 45
IGNORE b 2 46
IGNORE b 2 47
IGNORE b 2 48
cbe cbe 2 49
IGNORE b 2 52
bca a 2 53
IGNORE c 2 54
IGNORE c 2 55
IGNORE e 2 56
IGNORE b 2 57
IGNORE b 2 58
IGNORE b 2 59
bca a 2 60
IGNORE c 2 61
IGNORE c 2 62
bca a 2 63
IGNORE b 2 64
IGNORE c 2 65
IGNORE c 2 66
IGNORE c 2 67
IGNORE b 2 68
IGNORE b 2 69
IGNORE e 2 70
IGNORE c 2 71
IGNORE b 2 72
IGNORE b 2 73
bca a 2 74
IGNORE c 2 75
IGNORE c 2 76
bca a 2 77
IGNORE e 2 78
IGNORE b 2 79
bca abca 2 80
IGNORE c 2 84
IGNORE e 2 85
bca aa 2 86
IGNORE c 2 88
IGNORE c 2 89
IGNORE c 2 90
IGNORE c 2 91
bca a 2 92
IGNORE c 2 93
bca aaa 2 94
IGNORE c 2 97
IGNORE c 2 98
IGNORE e 2 99
bca bca 2 100
IGNORE c 2 103
IGNORE b 2 104
IGNORE c 2 105
IGNORE c 2 106
IGNORE b 2 107
IGNORE b 2 108
IGNORE b 2 109
IGNORE b 2 110
IGNORE e 2 111
IGNORE c 2 112
IGNORE c 2 113
bca a 2 114
IGNORE c 2 115
IGNORE c 2 116
cbe cbe 2 117
IGNORE c 2 120
IGNORE e 2 121
bca a 2 122
IGNORE b 2 123
bca a 2 124
IGNORE b 2 125
IGNORE b 2 126
IGNORE b 2 127
bca a 2 128
IGNORE b 2 129
bca aa 2 130
IGNORE c 2 132
bca bca 2 133
IGNORE e 2 136
IGNORE c 2 137
IGNORE e 2 138
bca bca 2 139
IGNORE b 2 142
IGNORE e 2 143
bca a 2 144
IGNORE c 2 145
IGNORE c 2 146
bca a 2 147
IGNORE b 2 148
IGNORE c 2 149
IGNORE e 2 150
bca aa 2 151
IGNORE e 2 153
IGNORE c 2 154
IGNORE e 2 155
IGNORE c 2 156
IGNORE c 2 157
IGNORE b 2 158
IGNORE b 2 159
IGNORE c 2 160
IGNORE e 2 161
IGNORE c 2 162
IGNORE c 2 163
